relativeUrl;acronym;name;admin
https://www.fundsexplorer.com.br/funds/srvd11;SRVD11;SERRA VERDE FUNDO DE INVESTIMENTO IMOBILIÁRIO;Rcap
https://www.fundsexplorer.com.br/funds/strx11;STRX11;STARX FDO INV IMOB - FII;Oliveira Trust
https://www.fundsexplorer.com.br/funds/tbof11;TBOF11;FDO INV IMOB - FII TB OFFICE;BTG Pactual
https://www.fundsexplorer.com.br/funds/tcin11;TCIN11;FDO. INVEST. IMOB. TOURMALET V - ED. CIDADE NOVA;Socopa
https://www.fundsexplorer.com.br/funds/teld11;TELD11;TELLUS DESENVOLVIMENTO LOGÍSTICO FDO. INVEST. IMOB;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/tepp11;TEPP11;TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/tgar11;TGAR11;FDO INV IMOB TG ATIVO REAL;Vortx
https://www.fundsexplorer.com.br/funds/thra11;THRA11;FDO INV IMOB - FII CYRELA THERA CORPORATE;BTG Pactual
https://www.fundsexplorer.com.br/funds/tord11;TORD11;TORDESILHAS EI FDO. INV. IMOB.;Vortx
https://www.fundsexplorer.com.br/funds/trnt11;TRNT11;FDO INV IMOB - FII TORRE NORTE;BTG Pactual
https://www.fundsexplorer.com.br/funds/trxf11;TRXF11;TRX REAL ESTATE FDO. INV. IMOB. - FII;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/trxl11;TRXL11;TRX REALTY LOGÍSTICA RENDA I FDO INV IMOB - FII;Oliveira Trust
https://www.fundsexplorer.com.br/funds/ubsr11;UBSR11;FDO INV IMOB - FII UBS (BR) RECEB IMOB;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/urpr11;URPR11;URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;Vortx
https://www.fundsexplorer.com.br/funds/vcjr11;VCJR11;VECTIS JUROS REAL FDO INV. IMOB. - FII;Intrag DTVM
https://www.fundsexplorer.com.br/funds/vcri11;VCRI11;VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO IMOB;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/vcrr11;VCRR11;VECTIS RENDA RESIDENCIAL FDO. INV. IMOB.;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/vere11;VERE11;FDO INV IMOB VEREDA - FII;Votorantim Asset
https://www.fundsexplorer.com.br/funds/vghf11;VGHF11;VALORA HEDGE FUND FDO. INV. IMOB.;Daycoval
https://www.fundsexplorer.com.br/funds/vgia11;VGIA11;FIAGRO VGIA;BTG Pactual
https://www.fundsexplorer.com.br/funds/vgip11;VGIP11;VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/vgir11;VGIR11;VALORA RE III FDO INV IMOB - FII;BTG Pactual
https://www.fundsexplorer.com.br/funds/vifi11;VIFI11;VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/vilg11;VILG11;VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/vino11;VINO11;VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/visc11;VISC11;VINCI SHOPPING CENTERS FDO INVEST IMOB - FII;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/viur11;VIUR11;VINCI IMOVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIARIO;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/vjfd11;VJFD11;JFDCAM FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;Banco BV
https://www.fundsexplorer.com.br/funds/vlol11;VLOL11;FDO INV IMOB - FII VILA OLÍMPIA CORPORATE;Oliveira Trust
https://www.fundsexplorer.com.br/funds/vots11;VOTS11;VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII;Votorantim Asset
https://www.fundsexplorer.com.br/funds/vpsi11;VPSI11;FDO INV IMOB POLO SHOPPING INDAIATUBA;Votorantim Asset
https://www.fundsexplorer.com.br/funds/vrta11;VRTA11;FATOR VERITA FDO INV IMOB - FII;Banco Fator
https://www.fundsexplorer.com.br/funds/vsho11;VSHO11;FDO INV IMOB VOTORANTIM SHOPPING;Votorantim Asset
https://www.fundsexplorer.com.br/funds/vslh11;VSLH11;VERSALHES RECEBÍVEIS IMOBILIÁRIOS - FDO. INV. IMOB;Vortx
https://www.fundsexplorer.com.br/funds/vtlt11;VTLT11;FDO INV IMOB VOTORANTIM LOGISTICA;Votorantim Asset
https://www.fundsexplorer.com.br/funds/vtpl11;VTPL11;FDO INV. IMOB. PLUS;BTG Pactual
https://www.fundsexplorer.com.br/funds/vvpr11;VVPR11;FDO INV IMOB - V2 PROPERTIES;BTG Pactual
https://www.fundsexplorer.com.br/funds/vxxv11;VXXV11;VX XII - Fundo de Investimento Imobiliário;Vortx
https://www.fundsexplorer.com.br/funds/whgr11;WHGR11;WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII;-
https://www.fundsexplorer.com.br/funds/wplz11;WPLZ11;FDO INV IMOB - FII SHOPPING WEST PLAZA;Hedge Investments
https://www.fundsexplorer.com.br/funds/wtsp11b;WTSP11B;FDO INV IMOB - OURINVEST RE I;Ourinvest
https://www.fundsexplorer.com.br/funds/xpca11;XPCA11;XP CRÉDITO AGRÍCOLA FDO INV FIAGRO IMOBILIÁRIO;XP Investimentos
